alexnet,714691904.0,61100840.0
densenet121,2865672192.0,7978856.0
densenet161,7787012832.0,28681000.0
densenet169,3398071168.0,14149480.0
densenet201,4340971136.0,20013928.0
googlenet,1504879712.0,6624904.0
inception_v3,5731151072.0,23834568.0
mnasnet0_5,110586848.0,2218512.0
mnasnet0_75,225023408.0,3170208.0
mnasnet1_0,325329152.0,4383312.0
mnasnet1_3,541067136.0,6282256.0
mobilenet_v2,314130496.0,3504872.0
resnet101,7833971712.0,44549160.0
resnet152,11558837248.0,60192808.0
resnet18,1819066368.0,11689512.0
resnet34,3671263232.0,21797672.0
resnet50,4111514624.0,25557032.0
resnext101_32x8d,16476536832.0,88791336.0
resnext50_32x4d,4259383296.0,25028904.0
shufflenet_v2_x0_5,42524256.0,1366792.0
shufflenet_v2_x1_0,148808392.0,2278604.0
shufflenet_v2_x1_5,301294432.0,3503624.0
shufflenet_v2_x2_0,590741448.0,7393996.0
squeezenet1_0,823440824.0,1248424.0
squeezenet1_1,351911288.0,1235496.0
vgg11,7616566272.0,132863336.0
vgg11_bn,7631418368.0,132868840.0
vgg13,11320759296.0,133047848.0
vgg13_bn,11345245184.0,133053736.0
vgg16,15483862016.0,138357544.0
vgg16_bn,15510957056.0,138365992.0
vgg19,19646964736.0,143667240.0
vgg19_bn,19676668928.0,143678248.0
wide_resnet101_2,22795601920.0,126886696.0
wide_resnet50_2,11426924544.0,68883240.0
